GAS_ZONES,TIMESERIES,gas_import_ref_quantity,gas_export_ref_quantity
AZ,20220402,0,140022.469620612
AZ,20220403,0,139765.487650603
AZ,20220404,0,137510.816012734
AZ,20220405,0,138069.954548445
AZ,20220406,0,141742.033759335
AZ,20220407,0,147693.602609065
AZ,20220408,0,149164.03373387
AZ,20220409,0,152147.331741555
AZ,20220410,0,148808.904306469
AZ,20220411,0,138739.695344657
AZ,20220412,0,135586.000296762
AZ,20220413,0,161750.089411575
AZ,20220414,0,162847.938492987
AZ,20220415,0,153132.958442968
AZ,20220416,0,147229.91488961
AZ,20220417,0,147520.494011186
AZ,20220418,0,151138.743561383
AZ,20220419,0,154589.690735661
AZ,20220420,0,153099.834957161
AZ,20220421,0,142544.698247996
AZ,20220422,0,146503.897964535
AZ,20220423,0,139220.598604518
AZ,20220424,0,145366.260247496
AZ,20220425,0,145416.439040949
AZ,20220426,0,153778.081709242
AZ,20220427,0,156758.324018798
AZ,20220428,0,148865.330595209
AZ,20220429,0,147147.207706118
AZ,20220430,0,147138.787250229
AZ,20220501,0,154058.736308244
AZ,20220502,0,152317.651815909
AZ,20220503,0,148377.825925492
AZ,20220504,0,146508.017504219
AZ,20220505,0,148441.285541265
AZ,20220506,0,154267.674457613
AZ,20220507,0,160039.598954472
AZ,20220508,0,162116.111177897
AZ,20220509,0,150787.900328102
AZ,20220510,0,141610.999701389
AZ,20220511,0,145410.559980576
AZ,20220512,0,147367.588002506
AZ,20220513,0,149608.104174411
AZ,20220514,0,159135.852133449
AZ,20220515,0,168068.896712863
AZ,20220516,0,173214.223859894
AZ,20220517,0,173991.724946549
AZ,20220518,0,168314.533044311
AZ,20220519,0,165454.445663188
AZ,20220520,0,160726.725186903
AZ,20220521,0,154445.196128364
AZ,20220522,0,149249.126009855
AZ,20220523,0,152680.799866267
AZ,20220524,0,151202.004178696
AZ,20220525,0,160604.193057697
AZ,20220526,0,169622.49326073
AZ,20220527,0,177356.797129371
AZ,20220528,0,177954.285308828
AZ,20220529,0,166896.690402836
AZ,20220530,0,152123.092576564
AZ,20220531,0,149557.761404626
AZ,20220601,0,154584.691545906
AZ,20220602,0,159040.873816631
AZ,20220603,0,165064.143205984
AZ,20220604,0,166045.009512955
AZ,20220605,0,162726.588797096
AZ,20220606,0,166635.746425627
AZ,20220607,0,176717.776681255
AZ,20220608,0,182891.543587564
AZ,20220609,0,192599.802733614
AZ,20220610,0,197463.999970542
AZ,20220611,0,208906.408571867
AZ,20220612,0,211934.018478556
AZ,20220613,0,205894.077354153
AZ,20220614,0,184213.520682059
AZ,20220615,0,171027.977755642
AZ,20220616,0,176440.693267143
AZ,20220617,0,188766.566962198
AZ,20220618,0,191704.021478573
AZ,20220619,0,159464.066806812
AZ,20220620,0,153432.522069427
AZ,20220621,0,157580.131934836
AZ,20220622,0,171288.425037651
AZ,20220623,0,182536.816496563
AZ,20220624,0,187827.05521182
AZ,20220625,0,177225.155974083
AZ,20220626,0,176937.389544586
AZ,20220627,0,168054.427554416
AZ,20220628,0,164851.92990105
AZ,20220629,0,186037.127881269
AZ,20220630,0,183836.898036167
AZ,20220701,0,176207.595428323
AZ,20220702,0,180063.198248426
AZ,20220703,0,177454.186847335
AZ,20220704,0,176216.548387031
AZ,20220705,0,167927.445619388
AZ,20220706,0,164666.37084583
AZ,20220707,0,164576.948728794
AZ,20220708,0,166744.284780791
AZ,20220709,0,184575.257324997
AZ,20220710,0,191977.093710638
AZ,20220711,0,194885.758606648
AZ,20220712,0,202985.465711221
AZ,20220713,0,196920.705471227
AZ,20220714,0,196711.297332725
AZ,20220715,0,186140.630053048
AZ,20220716,0,190480.585135439
AZ,20220717,0,193979.680992169
AZ,20220718,0,177623.287845865
AZ,20220719,0,171218.280993156
AZ,20220720,0,190143.430561261
AZ,20220721,0,188992.576395716
AZ,20220722,0,189574.638760827
AZ,20220723,0,198071.874313503
AZ,20220724,0,169434.254519862
AZ,20220725,0,146553.893522488
AZ,20220726,0,142559.473242087
AZ,20220727,0,141637.134550788
AZ,20220728,0,145641.230049419
AZ,20220729,0,132401.438855427
AZ,20220730,0,140755.497786136
AZ,20220731,0,146735.168330632
AZ,20220801,0,147329.005800447
AZ,20220802,0,156988.894678587
AZ,20220803,0,166627.391489881
AZ,20220804,0,146947.943504493
AZ,20220805,0,130171.800971885
AZ,20220806,0,150006.589624534
AZ,20220807,0,165701.632604695
AZ,20220808,0,159573.321873805
AZ,20220809,0,144696.604519507
AZ,20220810,0,140744.743799854
AZ,20220811,0,155463.638329754
AZ,20220812,0,156837.093081635
AZ,20220813,0,148686.570071337
AZ,20220814,0,153025.281138136
AZ,20220815,0,145968.398039173
AZ,20220816,0,146411.370399939
AZ,20220817,0,160113.528612824
AZ,20220818,0,155645.034503005
AZ,20220819,0,148703.608539696
AZ,20220820,0,135075.589977425
AZ,20220821,0,130301.899027387
AZ,20220822,0,134458.895946021
AZ,20220823,0,140961.468638179
AZ,20220824,0,156058.525146076
AZ,20220825,0,149439.264677526
AZ,20220826,0,153847.826140244
AZ,20220827,0,161237.679667955
AZ,20220828,0,157560.019768145
AZ,20220829,0,155725.023519514
AZ,20220830,0,166412.014334081
AZ,20220831,0,176296.746819318
AZ,20220901,0,172680.968641495
AZ,20220902,0,167148.93522324
AZ,20220903,0,166918.242925605
AZ,20220904,0,167198.096625293
AZ,20220905,0,170004.72422447
AZ,20220906,0,172110.864653979
AZ,20220907,0,172567.698663202
AZ,20220908,0,165693.732003351
AZ,20220909,0,161223.673154448
AZ,20220910,0,140296.169128349
AZ,20220911,0,134820.140597915
AZ,20220912,0,147477.196592948
AZ,20220913,0,138460.180633475
AZ,20220914,0,137606.143377173
AZ,20220915,0,139987.392117107
AZ,20220916,0,141457.231564127
AZ,20220917,0,141566.272779205
AZ,20220918,0,142103.958996465
AZ,20220919,0,143102.061820882
AZ,20220920,0,151908.354074813
AZ,20220921,0,145562.948039185
AZ,20220922,0,130176.159262913
AZ,20220923,0,139785.253352801
AZ,20220924,0,149637.96764462
AZ,20220925,0,153038.039680068
AZ,20220926,0,155444.385589213
AZ,20220927,0,156564.412892455
AZ,20220928,0,160054.283747134
AZ,20220929,0,151464.327755361
AZ,20220930,0,142597.239905761
AZ,20221001,0,140323.518828837
AZ,20221002,0,138970.649912225
AZ,20221003,0,142275.477061237
AZ,20221004,0,138273.908149172
AZ,20221005,0,128170.635651627
AZ,20221006,0,132714.436995567
AZ,20221007,0,133000.420507137
AZ,20221008,0,129398.242118159
AZ,20221009,0,124536.501267001
AZ,20221010,0,124287.952034883
AZ,20221011,0,126287.572787605
AZ,20221012,0,128815.52976459
AZ,20221013,0,130603.984322096
AZ,20221014,0,133477.543596866
AZ,20221015,0,131509.326654797
AZ,20221016,0,111015.526204335
AZ,20221017,0,110923.442579385
AZ,20221018,0,116318.845490327
AZ,20221019,0,115916.269615035
AZ,20221020,0,117771.698946947
AZ,20221021,0,121042.73627774
AZ,20221022,0,119127.695950292
AZ,20221023,0,114765.214015524
AZ,20221024,0,113633.662323599
AZ,20221025,0,126734.004472919
AZ,20221026,0,126056.324815056
AZ,20221027,0,121895.764130446
AZ,20221028,0,123063.421468535
AZ,20221029,0,121142.753537488
AZ,20221030,0,119831.081780499
AZ,20221031,0,117261.609610647
AZ,20221101,0,118717.221397012
AZ,20221102,0,109019.653205602
AZ,20221103,0,107169.47123834
AZ,20221104,0,152389.112883533
AZ,20221105,0,147504.589295901
AZ,20221106,0,124162.555475129
AZ,20221107,0,117952.928078144
AZ,20221108,0,111058.668162013
AZ,20221109,0,108914.413524651
AZ,20221110,0,111515.764260247
AZ,20221111,0,122796.629430062
AZ,20221112,0,125092.579518037
AZ,20221113,0,121983.37521382
AZ,20221114,0,125593.615386737
AZ,20221115,0,130400.104637966
AZ,20221116,0,124510.919999755
AZ,20221117,0,118473.802294884
AZ,20221118,0,116972.679805124
AZ,20221119,0,115526.970316527
