GAS_ZONES,gas_storage_type,gas_storage_predet_build_year,gas_storage_predet_cap,gas_storage_removed_cap
TX,salt cavern,2016,5601874,0
TX,salt cavern,2017,0,869006
TX,salt cavern,2022,6613986,5695204
UT,aquifer,1999,2860031.07913669,0
UT,aquifer,2008,0,1876955.07913669
UT,aquifer,2010,0,9333
UT,aquifer,2012,9333,0
UT,aquifer,2015,45628,0
UT,aquifer,2022,0,0
UT,depleted field,1999,51198639.7670549,0
UT,depleted field,2000,3490816.34775374,0
UT,depleted field,2008,0,1543206.11480865
UT,depleted field,2011,2799900,0
UT,depleted field,2022,0,0
UT,salt cavern,2022,0,0
VA,aquifer,2022,0,0
VA,depleted field,1999,1600499.51515152,0
VA,depleted field,2000,144740.060606061,0
VA,depleted field,2001,0,865360.787878788
VA,depleted field,2002,747896.96969697,0
VA,depleted field,2003,131981.818181818,0
VA,depleted field,2005,0,256484.666666667
VA,depleted field,2007,0,51472.9090909092
VA,depleted field,2022,0,0
VA,salt cavern,1999,673803.348531479,0
VA,salt cavern,2000,0,19625.3402484896
VA,salt cavern,2001,0,5233.42406626395
VA,salt cavern,2002,266904.62737946,0
VA,salt cavern,2003,863514.970933546,0
VA,salt cavern,2004,902765.651430526,0
VA,salt cavern,2005,993042.216573578,0
VA,salt cavern,2006,429794.951441924,0
VA,salt cavern,2007,0,9812.67012424488
VA,salt cavern,2008,52845.6681484859,0
VA,salt cavern,2022,0,487390
VT,aquifer,2022,0,0
VT,depleted field,2022,0,0
VT,salt cavern,2022,0,0
WA,aquifer,1999,20288495.9488273,0
WA,aquifer,2001,227905.624733474,0
WA,aquifer,2002,1037813.68017058,0
WA,aquifer,2003,337235.053304903,0
WA,aquifer,2004,552630.345415778,0
WA,aquifer,2005,504764.724946696,0
WA,aquifer,2006,611918.443496801,0
WA,aquifer,2007,0,2162111.8336887
WA,aquifer,2008,2486569.01279318,0
WA,aquifer,2009,498797,0
WA,aquifer,2010,494649,0
WA,aquifer,2011,0,2569686
WA,aquifer,2012,3201219,0
WA,aquifer,2022,0,0
WA,depleted field,2022,0,0
WA,salt cavern,2022,0,0
WI,aquifer,2022,0,0
WI,depleted field,2022,0,0
WI,salt cavern,2022,0,0
WV,aquifer,2015,68442,0
WV,aquifer,2022,0,0
WV,depleted field,1999,384607266.190289,0
WV,depleted field,2000,0,16786.8990108371
WV,depleted field,2001,0,123346986.388076
WV,depleted field,2002,0,1856001.52188581
WV,depleted field,2003,8587548.02523202,0
WV,depleted field,2004,690361.221820712,0
WV,depleted field,2005,122754.19901675,0
WV,depleted field,2006,545049.627258182,0
WV,depleted field,2007,12215616.5739495,0
WV,depleted field,2008,0,13418990.0285935
WV,depleted field,2009,3093371,0
WV,depleted field,2010,0,831674
WV,depleted field,2011,0,4201924
WV,depleted field,2012,0,50813
WV,depleted field,2013,1465281,0
WV,depleted field,2014,4406213,0
WV,depleted field,2015,0,3100630
WV,depleted field,2016,2036668,0
WV,depleted field,2017,7802388,0
WV,depleted field,2022,1013149,251991
WV,salt cavern,2022,0,0
WY,aquifer,1999,1292963.4601044,0
WY,aquifer,2008,0,426031.4601044
WY,aquifer,2010,0,6222
WY,aquifer,2012,6222,0
WY,aquifer,2022,0,0
WY,depleted field,1999,47904162.9744562,0
WY,depleted field,2002,4597136.6813222,0
WY,depleted field,2003,0,440225.806113571
WY,depleted field,2004,0,13491.5967821404
WY,depleted field,2006,0,31980.0812613741
WY,depleted field,2007,0,14490.9743215591
WY,depleted field,2008,0,5491661.19729976
WY,depleted field,2009,0,3677202
WY,depleted field,2011,0,881450
WY,depleted field,2012,7689355,0
WY,depleted field,2013,25925000,0
WY,depleted field,2022,17323085,16709181
WY,salt cavern,2022,0,0
