GAS_ZONES,gas_storage_predet_build_year,gas_storage_type,gas_storage_predet_cap,gas_storage_removed_cap,gas_storage_total_cap
MS,2013,depleted field,3111000,0,73791883
MS,2013,salt cavern,9386924,0,113546315
MS,2014,depleted field,0,250954,73540929
MS,2014,salt cavern,21609006,0,135155321
MS,2015,depleted field,0,1451800,72089129
MS,2015,salt cavern,1593869,0,136749190
MS,2016,depleted field,97478,0,72186607
MS,2016,salt cavern,3351584,0,140100774
MS,2022,depleted field,0,725900,71460707
MS,2022,salt cavern,0,2577982,138393872
MT,1999,depleted field,202217219.589315,0,202217219.589315
MT,2001,depleted field,1423374.95417637,0,203640594.543491
MT,2002,depleted field,41367.6850926876,0,203681962.228584
MT,2008,depleted field,0,415444.228583932,203266518
MT,2009,depleted field,1549278,0,204815796
MT,2010,depleted field,0,7259,204808537
MT,2017,depleted field,0,24888,204783649
NE,1999,depleted field,14859856.0214634,0,14859856.0214634
NE,2003,depleted field,376.503902439028,0,14860232.5253659
NE,2007,depleted field,0,1739071.52536586,13121161
NE,2008,depleted field,1001742,0,14122903
NE,2010,depleted field,1244400,0,15367303
NE,2015,depleted field,0,2246142,13121161
NM,1999,aquifer,3982080,0,3982080
NM,1999,depleted field,58819603.6767677,0,58819603.6767677
NM,2002,aquifer,0,2256512,1725568
NM,2003,depleted field,0,4171603.09764309,54648000.5791246
NM,2005,aquifer,0,165920,1559648
NM,2005,depleted field,0,122367.024197534,54525633.5549271
NM,2006,aquifer,0,156960.32,1402687.68
NM,2008,depleted field,2820466.44507295,0,57346100
NM,2010,depleted field,3836900,0,61183000
NM,2012,aquifer,0,1402687.68,0
NM,2012,depleted field,4459100,0,65642100
NM,2013,depleted field,0,3693794,61948306
NY,1999,depleted field,93141816.8350239,0,93141816.8350239
NY,1999,salt cavern,931748.931623932,0,931748.931623932
NY,2000,depleted field,196281.098818034,0,93338097.9338419
NY,2001,depleted field,11262.0302600563,0,93349359.9641019
NY,2002,depleted field,7373948.38455759,0,100723308.34866
NY,2002,salt cavern,571901.068376068,0,1503650
NY,2003,depleted field,5571487.25579409,0,106294795.604454
NY,2004,depleted field,2263131.79511513,0,108557927.399569
NY,2005,depleted field,48265.8439716548,0,108606193.24354
NY,2006,depleted field,4488723.48936342,0,113094916.732904
NY,2007,depleted field,8466901.60693784,0,121561818.339842
NY,2008,depleted field,0,6331415.33984166,115230403
NY,2009,depleted field,17014059,0,132244462
NY,2012,depleted field,1555500,0,133799962
NY,2012,salt cavern,0,1503650,0
NY,2013,depleted field,0,959225,132840737
NY,2013,salt cavern,1503650,0,1503650
NY,2015,depleted field,0,2779160,130061577
NY,2017,depleted field,638792,0,130700369
NY,2022,depleted field,0,2476356,128224013
OH,1999,depleted field,260860206.484146,0,260860206.484146
OH,2000,depleted field,0,725387.446252674,260134819.037893
OH,2001,depleted field,986073.559749693,0,261120892.597643
OH,2002,depleted field,0,1020076.09629276,260100816.50135
OH,2003,depleted field,0,591644.135849833,259509172.365501
OH,2005,depleted field,33095.8022352755,0,259542268.167736
OH,2008,depleted field,0,31323456.1677358,228218812
OH,2009,depleted field,5265886,0,233484698
OH,2010,depleted field,3314252,0,236798950
OH,2011,depleted field,2074000,0,238872950
OH,2013,depleted field,495686,0,239368636
OH,2016,depleted field,12444,0,239381080
OH,2017,depleted field,22088100,0,261469180
OH,2022,depleted field,1669570,12125641,263138750
OK,1999,depleted field,216542536.291894,0,216542536.291894
OK,2000,depleted field,0,9153616.47180086,207388919.820094
OK,2001,depleted field,2138951.72199062,0,209527871.542084
OK,2002,depleted field,4239512.0028173,0,213767383.544901
OK,2003,depleted field,0,2703305.90710044,211064077.637801
OK,2004,depleted field,0,658138.991381735,210405938.646419
OK,2005,depleted field,0,2687400.88147539,207718537.764944
OK,2006,depleted field,712983.907330215,0,208431521.672274
OK,2007,depleted field,0,3455229.70475408,204976291.96752
OK,2008,depleted field,0,21562101.96752,183414190
OK,2009,depleted field,0,2074,183412116
OK,2010,depleted field,3100630,0,186512746
OK,2011,depleted field,3629500,0,190142246
OK,2012,aquifer,32147,0,32147
OK,2012,depleted field,0,2623610,187518636
OK,2013,depleted field,204289,0,187722925
OK,2014,depleted field,7673800,0,195396725
OK,2015,depleted field,3111000,0,198507725
OK,2016,depleted field,5101003,0,203608728
OK,2017,depleted field,2385100,0,205993828
OK,2022,depleted field,2425543,3207441,205211930
OR,1999,depleted field,6832559.11226867,0,6832559.11226867
OR,2000,depleted field,2594397.12290842,0,9426956.23517708
OR,2001,depleted field,2965361.22545888,0,12392317.460636
OR,2002,depleted field,1526185.11920921,0,13918502.5798452
OR,2003,depleted field,71135.7470817845,0,13989638.326927
OR,2004,depleted field,402122.735569762,0,14391761.0624967
OR,2005,depleted field,0,262202.836351044,14129558.2261457
OR,2006,depleted field,1569101.72695277,0,15698659.9530984
OR,2007,depleted field,1594381.37260993,0,17293041.3257084
OR,2008,depleted field,0,923996.325708382,16369045
OR,2009,depleted field,155550,0,16524595
OR,2012,depleted field,0,440725,16083870
OR,2013,depleted field,440725,0,16524595
OR,2022,depleted field,5822755,0,22347350
PA,1999,depleted field,398184251.452888,0,398184251.452888
PA,2000,depleted field,0,188381.696027339,397995869.75686
PA,2001,depleted field,18926546.2008674,0,416922415.957728
PA,2002,depleted field,0,1659386.91500598,415263029.042722
PA,2003,depleted field,19685887.234854,0,434948916.277576
PA,2004,depleted field,548865.188425243,0,435497781.466001
PA,2005,depleted field,0,131402.047228932,435366379.418772
PA,2006,depleted field,733758.334526122,0,436100137.753298
PA,2007,depleted field,5413648.06083423,0,441513785.814132
PA,2008,depleted field,0,6993156.81413239,434520629
PA,2009,depleted field,12568440,0,447089069
PA,2010,depleted field,0,52887,447036182
PA,2011,depleted field,2098888,0,449135070
PA,2012,aquifer,976854,0,976854
PA,2012,depleted field,130662,0,449265732
PA,2013,aquifer,0,4148,972706
PA,2013,depleted field,0,995520,448270212
PA,2015,depleted field,0,3544466,444725746
PA,2016,depleted field,0,3562095,441163651
PA,2017,depleted field,1348100,0,442511751
PA,2022,depleted field,25925,1410320,442475456
TN,1999,depleted field,933300,0,933300
TN,2008,depleted field,0,41480,891820
TN,2015,depleted field,974780,0,1866600
TX,1999,depleted field,382031648.437037,0,382031648.437037
TX,1999,salt cavern,71928189.7273984,0,71928189.7273984
TX,2000,depleted field,11024711.3245767,0,393056359.761614
TX,2000,salt cavern,0,1103000.11437161,70825189.6130268
TX,2001,depleted field,6597672.84534812,0,399654032.606962
TX,2001,salt cavern,9298571.3299599,0,80123760.9429867
TX,2002,depleted field,0,12284207.0707537,387369825.536209
TX,2002,salt cavern,0,3304213.60982248,76819547.3331642
TX,2003,depleted field,0,25524416.9367983,361845408.59941
TX,2003,salt cavern,1237028.64655812,0,78056575.9797223
TX,2004,depleted field,6356857.78649294,0,368202266.385903
TX,2004,salt cavern,1345755.87419923,0,79402331.8539215
TX,2005,depleted field,1027917.4293052,0,369230183.815208
TX,2005,salt cavern,2969826.098398,0,82372157.9523195
TX,2006,depleted field,2901656.51738411,0,372131840.332592
TX,2006,salt cavern,3806820.6055219,0,86178978.5578414
TX,2007,depleted field,1291164.57583463,0,373423004.908427
TX,2007,salt cavern,0,916317.515968993,85262661.0418724
TX,2008,depleted field,17755172.0915729,0,391178177
TX,2008,salt cavern,28449573.9581276,0,113712235
TX,2009,depleted field,3772606,0,394950783
TX,2009,salt cavern,14527333,0,128239568
TX,2010,depleted field,0,1575203,393375580
TX,2010,salt cavern,7214409,0,135453977
TX,2011,depleted field,927078,0,394302658
TX,2011,salt cavern,22275797,0,157729774
TX,2012,depleted field,0,11756469,382546189
TX,2012,salt cavern,12793469,0,170523243
TX,2013,depleted field,4273477,0,386819666
TX,2013,salt cavern,3841048,0,174364291
TX,2014,depleted field,0,12526960,374292706
TX,2014,salt cavern,0,619089,173745202
TX,2015,depleted field,6434585,0,380727291
TX,2015,salt cavern,0,154513,173590689
TX,2016,depleted field,10314002,0,391041293
TX,2016,salt cavern,5601874,0,179192563
TX,2017,salt cavern,0,869006,178323557
TX,2022,depleted field,2975153,1037000,392979446
TX,2022,salt cavern,6613986,5695204,179242339
UT,1999,aquifer,2860031.07913669,0,2860031.07913669
UT,1999,depleted field,51198639.7670549,0,51198639.7670549
UT,2000,depleted field,3490816.34775374,0,54689456.1148086
UT,2008,aquifer,0,1876955.07913669,983076
UT,2008,depleted field,0,1543206.11480865,53146250
UT,2010,aquifer,0,9333,973743
UT,2011,depleted field,2799900,0,55946150
UT,2012,aquifer,9333,0,983076
UT,2015,aquifer,45628,0,1028704
VA,1999,depleted field,1600499.51515152,0,1600499.51515152
VA,1999,salt cavern,673803.348531479,0,673803.348531479
VA,2000,depleted field,144740.060606061,0,1745239.57575758
VA,2000,salt cavern,0,19625.3402484896,654178.008282989
VA,2001,depleted field,0,865360.787878788,879878.787878788
VA,2001,salt cavern,0,5233.42406626395,648944.584216726
VA,2002,depleted field,747896.96969697,0,1627775.75757576
VA,2002,salt cavern,266904.62737946,0,915849.211596185
VA,2003,depleted field,131981.818181818,0,1759757.57575758
VA,2003,salt cavern,863514.970933546,0,1779364.18252973
VA,2004,salt cavern,902765.651430526,0,2682129.83396026
VA,2005,depleted field,0,256484.666666667,1503272.90909091
VA,2005,salt cavern,993042.216573578,0,3675172.05053383
VA,2006,salt cavern,429794.951441924,0,4104967.00197576
VA,2007,depleted field,0,51472.9090909092,1451800
VA,2007,salt cavern,0,9812.67012424488,4095154.33185151
VA,2008,salt cavern,52845.6681484859,0,4148000
VA,2022,salt cavern,0,487390,3660610
WA,1999,aquifer,20288495.9488273,0,20288495.9488273
WA,2001,aquifer,227905.624733474,0,20516401.5735608
WA,2002,aquifer,1037813.68017058,0,21554215.2537313
WA,2003,aquifer,337235.053304903,0,21891450.3070362
WA,2004,aquifer,552630.345415778,0,22444080.652452
WA,2005,aquifer,504764.724946696,0,22948845.3773987
WA,2006,aquifer,611918.443496801,0,23560763.8208955
WA,2007,aquifer,0,2162111.8336887,21398651.9872068
WA,2008,aquifer,2486569.01279318,0,23885221
WA,2009,aquifer,498797,0,24384018
